
 *: interface is up
 IHQ: pkts in input hold queue     IQD: pkts dropped from input queue
 OHQ: pkts in output hold queue    OQD: pkts dropped from output queue
 RXBS: rx rate (bits/sec)          RXPS: rx rate (pkts/sec)
 TXBS: tx rate (bits/sec)          TXPS: tx rate (pkts/sec)
 TRTL: throttle count

  Interface                   IHQ       IQD       OHQ       OQD      RXBS      RXPS      TXBS      TXPS      TRTL
  GigabitEthernet4/35           0         0         0         0         0         0         0         0         0
  GigabitEthernet4/36           0         0         0         0         0         0         0         0         0
* GigabitEthernet4/37           0         0         0         0      1000         0      6000         6         0
  GigabitEthernet4/38           0         0         0         0         0         0         0         0         0
  GigabitEthernet4/39           0         0         0         0         0         0         0         0         0
* GigabitEthernet4/40           0         0         0         0         0         0      3000         4         0
* GigabitEthernet4/41           0         0         0         0         0         0      6000         6         0
  GigabitEthernet4/42           0         0         0         0         0         0         0         0         0
  GigabitEthernet4/43           0         0         0         0         0         0         0         0         0
* GigabitEthernet4/44           0         0         0         0         0         0         0         0         0
  GigabitEthernet4/45           0         0         0         0         0         0         0         0         0
* GigabitEthernet4/46           0         0         0         0         0         0      2000         4         0
  GigabitEthernet4/47           0         0         0         0         0         0         0         0         0
  GigabitEthernet4/48           0         0         0         0         0         0         0         0         0
  GigabitEthernet5/1            0         0         0         0         0         0         0         0         0
* GigabitEthernet5/2            0         0         0         0         0         0      1000         2         0
  GigabitEthernet5/3            0         0         0         0         0         0         0         0         0
  GigabitEthernet5/4            0         0         0         0         0         0         0         0         0
* GigabitEthernet5/5            0         0         0         0         0         0      2000         2         0
  GigabitEthernet5/6            0         0         0         0         0         0         0         0         0
* GigabitEthernet5/7            0         0         0         0         0         0      5000         5         0
* GigabitEthernet5/8            0         0         0         0     20000        14    640000        67         0
* GigabitEthernet5/9            0         0         0         0         0         0      2000         3         0
* GigabitEthernet5/10           0         0         0         0         0         0      1000         2         0
* GigabitEthernet5/11           0         0         0         0         0         0      2000         4         0
  GigabitEthernet5/12           0         0         0         0         0         0         0         0         0
* GigabitEthernet5/13           0         0         0         0         0         0      1000         2         0
  GigabitEthernet5/14           0         0         0         0         0         0         0         0         0
  GigabitEthernet5/15           0         0         0         0         0         0         0         0         0
  GigabitEthernet5/16           0         0         0         0         0         0         0         0         0
* GigabitEthernet5/17           0         0         0         0         0         0      4000         3         0
  GigabitEthernet5/18           0         0         0         0         0         0         0         0         0
  GigabitEthernet5/19           0         0         0         0         0         0         0         0         0
  GigabitEthernet5/20           0         0         0         0         0         0         0         0         0
  GigabitEthernet5/21           0         0         0         0         0         0         0         0         0
  GigabitEthernet5/22           0         0         0         0         0         0         0         0         0
  GigabitEthernet5/23           0         0         0         0         0         0         0         0         0
  GigabitEthernet5/24           0         0         0         0         0         0         0         0         0
* GigabitEthernet5/25           0         0         0         0         0         0      2000         2         0
  GigabitEthernet5/26           0         0         0         0         0         0         0         0         0
* GigabitEthernet5/27           0         0         0         0         0         0      5000         5         0
  GigabitEthernet5/28           0         0         0         0         0         0         0         0         0
  GigabitEthernet5/29           0         0         0         0         0         0         0         0         0
  GigabitEthernet5/30           0         0         0         0         0         0         0         0         0
* GigabitEthernet5/31           0         0         0         0         0         0      5000         5         0
* GigabitEthernet5/32           0         0         0         0         0         0      5000         5         0
  GigabitEthernet5/33           0         0         0         0         0         0         0         0         0
* GigabitEthernet5/34           0         0         0         0         0         0      5000         5         0
  GigabitEthernet5/35           0         0         0         0         0         0         0         0         0
  GigabitEthernet5/36           0         0         0         0         0         0         0         0         0
  GigabitEthernet5/37           0         0         0         0         0         0         0         0         0
  GigabitEthernet5/38           0         0         0         0         0         0         0         0         0
  GigabitEthernet5/39           0         0         0         0         0         0         0         0         0
  GigabitEthernet5/40           0         0         0         0         0         0         0         0         0
* GigabitEthernet5/41           0         0         0         0         0         0      2000         4         0
  GigabitEthernet5/42           0         0         0         0         0         0         0         0         0
  GigabitEthernet5/43           0         0         0         0         0         0         0         0         0
  GigabitEthernet5/44           0         0         0         0         0         0         0         0         0
